ID	RA	Dec	SDSS Name
111070	177.58407592773	25.961868286133	J115020.17+255742.6
111079	174.25790405273	15.570610046387	J113701.89+153414.1
111086	174.81137084961	14.992425918579	J113914.72+145932.7
111088	178.57403564453	32.860996246338	J115417.76+325139.5
111090	176.55145263672	10.595534324646	J114612.35+103543.9
111091	178.74391174316	26.202508926392	J115458.53+261209.0
111093	171.91311645508	23.757936477661	J112739.14+234528.5
112011	194.90618896484	28.166137695312	J125937.48+280958.0
112014	181.13412475586	2.4531247615814	J120432.18+022711.1
112016	193.34034729004	26.361423492432	J125321.67+262141.1
112035	194.77206420898	27.644432067871	J125905.29+273839.8
112038	189.42152404785	27.12956237793	J123741.16+270746.4
112050	192.17092895508	34.477607727051	J124841.02+342839.3
112065	180.28346252441	15.398248672485	J120108.03+152353.6
112068	181.04057312012	1.8259764909744	J120409.74+014933.4
112079	181.36470031738	1.9481346607208	J120527.52+015653.2
112089	192.6109161377	26.735334396362	J125026.62+264407.1
112090	180.59382629395	29.861770629883	J120222.52+295142.3
112106	180.90391540527	2.6304657459259	J120336.93+023749.7
112112	186.4172668457	20.528469085693	J122540.14+203142.4
112116	194.02542114258	27.678108215332	J125606.09+274041.1
113003	208.5260925293	5.3563561439514	J135406.26+052122.8
113004	195.3067779541	27.91427230835	J130113.62+275451.3
113005	206.62339782715	3.878312587738	J134629.60+035241.8
113008	209.23089599609	14.142251968384	J135655.41+140832.0
113010	208.27262878418	15.844551086426	J135305.42+155040.3
113011	209.7766418457	17.934713363647	J135906.39+175604.9
113024	200.92323303223	31.646314620972	J132341.57+313846.7
113062	200.39549255371	26.304666519165	J132134.91+261816.7
113067	209.51959228516	15.314831733704	J135804.69+151853.4
113091	207.7048034668	17.282093048096	J135049.14+171655.4
113098	198.39698791504	29.126529693604	J131335.27+290735.4
113100	195.14866638184	27.574241638184	J130035.67+273427.2
113110	199.97648620605	31.23496055603	J131954.35+311405.8
113114	196.65902709961	28.848466873169	J130638.16+285053.9
113118	204.62380981445	30.986873626709	J133829.70+305912.8
113122	209.68922424316	20.661874771118	J135845.41+203942.6
113124	200.71282958984	31.825933456421	J132251.07+314934.3
113128	195.07823181152	27.937051773071	J130018.77+275613.3
113136	206.75512695312	33.89359664917	J134701.25+335336.9
113137	196.53480529785	30.209270477295	J130608.35+301233.3
113141	197.8819732666	8.7432041168213	J131131.65+084435.5
113150	209.66091918945	7.2165174484253	J135838.59+071259.4
114008	217.05332946777	25.830526351929	J142812.79+254949.8
114010	217.19442749023	27.25066947937	J142846.66+271502.4
114021	216.09657287598	13.798441886902	J142423.17+134754.3
114041	215.92660522461	34.009014129639	J142342.38+340032.4
114046	213.67051696777	13.378170967102	J141440.92+132241.4
114048	217.23251342773	25.737632751465	J142855.80+254415.4
114072	210.94343566895	14.868104934692	J140346.42+145205.1
114090	217.19761657715	13.82119846344	J142847.42+134916.3
