spectral_axis flux uncertainty weight mask baseline
1435864927.890625 0.02146436756910069 0.0 1.0 0 0.0
1435861876.1328125 0.021246961413031687 0.0 1.0 0 0.0
1435858824.375 0.015319538920703634 0.0 1.0 0 0.0
1435855772.6171875 0.028910212079083668 0.0 1.0 0 0.0
1435852720.859375 0.03488541823320239 0.0 1.0 0 0.0
1435849669.1015625 0.011846384532632979 0.0 1.0 0 0.0
1435846617.34375 0.012157760008218913 0.0 1.0 0 0.0
1435843565.5859375 0.017369560852530923 0.0 1.0 0 0.0
1435840513.828125 0.02730619133923737 0.0 1.0 0 0.0
1435837462.0703125 0.01949356794620169 0.0 1.0 0 0.0
1435834410.3125 0.0016703697419922887 0.0 1.0 0 0.0
1435831358.5546875 0.016969873225164085 0.0 1.0 0 0.0
1435828306.796875 0.007761645813349535 0.0 1.0 0 0.0
1435825255.0390625 0.024537396165542874 0.0 1.0 0 0.0
1435822203.28125 0.017242929477588008 0.0 1.0 0 0.0
1435819151.5234375 0.02034376601188519 0.0 1.0 0 0.0
1435816099.765625 0.024363598326152966 0.0 1.0 0 0.0
1435813048.0078125 0.02776460158919733 0.0 1.0 0 0.0
1435809996.25 0.011319265046119915 0.0 1.0 0 0.0
1435806944.4921875 0.01242614143834649 0.0 1.0 0 0.0
1435803892.734375 0.013446762712251207 0.0 1.0 0 0.0
1435800840.9765625 0.011743078606638667 0.0 1.0 0 0.0
1435797789.21875 0.015508515267029016 0.0 1.0 0 0.0
1435794737.4609375 0.0062852574368197234 0.0 1.0 0 0.0
1435791685.703125 0.013653994523078352 0.0 1.0 0 0.0
1435788633.9453125 0.022741053812650108 0.0 1.0 0 0.0
1435785582.1875 -0.0023416469157573373 0.0 1.0 0 0.0
1435782530.4296875 0.015026673280880308 0.0 1.0 0 0.0
1435779478.671875 0.01960133251231905 0.0 1.0 0 0.0
1435776426.9140625 0.016766713804106322 0.0 1.0 0 0.0
1435773375.15625 0.01617682829433664 0.0 1.0 0 0.0
1435770323.3984375 0.030997573075902826 0.0 1.0 0 0.0
1435767271.640625 0.028497012180043402 0.0 1.0 0 0.0
1435764219.8828125 0.02068444770617794 0.0 1.0 0 0.0
1435761168.125 0.017548172785808308 0.0 1.0 0 0.0
1435758116.3671875 0.012480920039785452 0.0 1.0 0 0.0
1435755064.609375 0.02352679470404537 0.0 1.0 0 0.0
1435752012.8515625 0.011346780831174156 0.0 1.0 0 0.0
1435748961.09375 0.015241329920484305 0.0 1.0 0 0.0
1435745909.3359375 0.016824492080764548 0.0 1.0 0 0.0
1435742857.578125 0.030139515645586593 0.0 1.0 0 0.0
1435739805.8203125 0.01991485035542481 0.0 1.0 0 0.0
1435736754.0625 0.010284187540684893 0.0 1.0 0 0.0
1435733702.3046875 0.0334279909414328 0.0 1.0 0 0.0
1435730650.546875 0.023452411623161598 0.0 1.0 0 0.0
1435727598.7890625 0.012935116553329074 0.0 1.0 0 0.0
1435724547.03125 0.010768248535940113 0.0 1.0 0 0.0
1435721495.2734375 0.03290608206318531 0.0 1.0 0 0.0
1435718443.515625 0.010441093692341023 0.0 1.0 0 0.0
1435715391.7578125 0.027041400362785115 0.0 1.0 0 0.0
1435712340.0 0.002456695772277227 0.0 1.0 0 0.0
1435709288.2421875 0.0153920696540624 0.0 1.0 0 0.0
1435706236.484375 0.00491331272948536 0.0 1.0 0 0.0
1435703184.7265625 0.006706292552430183 0.0 1.0 0 0.0
1435700132.96875 0.011672833185790547 0.0 1.0 0 0.0
1435697081.2109375 0.0045813125483156174 0.0 1.0 0 0.0
1435694029.453125 0.01889279083234309 0.0 1.0 0 0.0
1435690977.6953125 0.018673451996413768 0.0 1.0 0 0.0
1435687925.9375 0.00563723569657766 0.0 1.0 0 0.0
1435684874.1796875 0.012875347533142886 0.0 1.0 0 0.0
1435681822.421875 0.022686592361390402 0.0 1.0 0 0.0
1435678770.6640625 0.01885010604784534 0.0 1.0 0 0.0
1435675718.90625 0.02689210193410408 0.0 1.0 0 0.0
1435672667.1484375 0.028441596774466112 0.0 1.0 0 0.0
1435669615.390625 0.013100794891811176 0.0 1.0 0 0.0
1435666563.6328125 0.025719522982010995 0.0 1.0 0 0.0
1435663511.875 0.028104517665311905 0.0 1.0 0 0.0
1435660460.1171875 0.018100140205660337 0.0 1.0 0 0.0
1435657408.359375 0.014641385564294559 0.0 1.0 0 0.0
1435654356.6015625 0.01742033530258336 0.0 1.0 0 0.0
1435651304.84375 0.013417457426640486 0.0 1.0 0 0.0
1435648253.0859375 0.012449777094840622 0.0 1.0 0 0.0
1435645201.328125 0.01638541502083573 0.0 1.0 0 0.0
1435642149.5703125 0.02108253894051439 0.0 1.0 0 0.0
1435639097.8125 0.01079181184773432 0.0 1.0 0 0.0
1435636046.0546875 0.012074784129455791 0.0 1.0 0 0.0
1435632994.296875 0.01487364080208494 0.0 1.0 0 0.0
1435629942.5390625 0.010725065625522235 0.0 1.0 0 0.0
1435626890.78125 0.017283019407821305 0.0 1.0 0 0.0
1435623839.0234375 0.029448833903368336 0.0 1.0 0 0.0
1435620787.265625 0.0033794510786300954 0.0 1.0 0 0.0
1435617735.5078125 0.017499176980437996 0.0 1.0 0 0.0
1435614683.75 0.013228955750737167 0.0 1.0 0 0.0
1435611631.9921875 0.018760422238700707 0.0 1.0 0 0.0
1435608580.234375 0.026929177331954077 0.0 1.0 0 0.0
1435605528.4765625 0.017689559915161558 0.0 1.0 0 0.0
1435602476.71875 0.024556354244498736 0.0 1.0 0 0.0
1435599424.9609375 0.014899762623314385 0.0 1.0 0 0.0
1435596373.203125 0.031015566992280055 0.0 1.0 0 0.0
1435593321.4453125 0.021259261039726356 0.0 1.0 0 0.0
1435590269.6875 0.013544543221636349 0.0 1.0 0 0.0
1435587217.9296875 0.019742521477020426 0.0 1.0 0 0.0
1435584166.171875 0.026659589767979625 0.0 1.0 0 0.0
1435581114.4140625 0.013578626779424969 0.0 1.0 0 0.0
1435578062.65625 0.008050616337745795 0.0 1.0 0 0.0
1435575010.8984375 0.016216155112687737 0.0 1.0 0 0.0
1435571959.140625 0.02475961702525004 0.0 1.0 0 0.0
1435568907.3828125 0.01287931220622051 0.0 1.0 0 0.0
1435565855.625 0.012007143106432253 0.0 1.0 0 0.0
